Shape,R101,R101N,R102,R102N,R103,R103N,R104,R104N,R301,R302A,R302B,R302C,R303,R304A,R304B,R304C,R305A1,R305B,R305C,R306A,R306B,R306C,R306D,R307A,R308A,R308B1A,R308B1B,R308B1C,R308B1D,R308B1E,R308B2,R308B3,R309A,R309B,R309C,R402A,R402B1,R402B2,R402C,R403A,R403B,R403C1,R403C2,R404A,R404B1,R404B2,R404C,R501A1,R501A2,R501B,R502A,R502B,R503A1,R503A2,R503A3,R503A4,R503A5,R503A6,R503B,R503C,R504A1,R504A2,R504A3,R504A4,R504A5,R504B,R504C,R505A,R505B,R506,R507A,R507B,R508A,R508B,R508C1,R508C2,R508C3,R509AK2,R509AK3,R509AK4,R509AK5,R509B1K2,R509B1K3,R509B1K4,R509B1K5,R509B2K2,R509B2K3,R509B2K4,R509B2K5,R509B3K2,R509B3K3,R509B3K4,R509B3K5,R509B4K2,R509B4K3,R509B4K4,R509B4K5,R509B5K2,R509B5K3,R509B5K4,R509B5K5,R509B6K2,R509B6K3,R509B6K4,R509B6K5,R509B7K2,R509B7K3,R509B7K4,R509B8K2,R509B8K3,R509B8K4,R509B8K5,R509B9K2,R509B9K4,R509B9K5,R509B10K2,R509B10K4,R509B10K5,R510B,R510C1,R510C2,R510C3,R510D1,R510D2A,R510D2B,R510D2C,R510D3,R511A,R511B,R512A,R512B1,R512B2,R512B3,R513AK2,R513AK3,R513ALK3,R513AK4,R513BK2,R513BK3,R513BLK3,R513BK4,R513CK2,R513CK3,R513CLK3,R513CK4,R514A,R514B,R515,R516
62733,64,KALIMANTAN TIMUR,71,BALIKPAPAN,011,BALIKPAPAN KOTA,005,DAMAI,2,1,25,4,1,1,1,37,1,3,2,1,2,1,1,1,1,2,4,6,8,2,2,,3,,,2,,,2,4,,,,2,,,,8042,0,0,1,1,2,3,5,8,2,4,2,,1,4,6,8,2,1,1,1,1,1,2,1,2,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,1,150,160,1,3,KEBAKARAN PIPA BOCOR PERTAMINA,2,2,,,,1,3,KEBAKARAN PIPA BOCOR PERTAMINA,2,2,2,2,2
62722,64,KALIMANTAN TIMUR,71,BALIKPAPAN,010,BALIKPAPAN SELATAN,006,GUNUNG BAHAGIA,2,1,45,3,1,1,1,57,1,3,2,1,2,1,1,1,2,,,,,,,,3,,,3,,,2,6,,,,1,HIDROPONIK,-,3,8481,0,0,1,1,2,3,5,7,2,4,2,,1,4,6,8,2,1,1,1,1,2,3,1,2,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,,,,2,,,,2,,,,2,,,,1,1,2,2
62723,64,KALIMANTAN TIMUR,71,BALIKPAPAN,010,BALIKPAPAN SELATAN,007,SEPINGGAN,2,1,15,4,1,1,1,67,1,3,2,1,2,1,1,1,2,,,,,,,,3,,,2,,,2,4,,,,1,KERIPIK PISANG TANDUK,TANAMAN HIDROPONIK,3,12054,0,0,1,1,2,3,5,7,1,4,2,4,1,4,6,7,2,1,1,1,1,2,3,1,1,2,,,,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,2,,,,2,,,,,3,0,2,,,,2,,,,2,,,,2,,,,1,2,2,2
62724,64,KALIMANTAN TIMUR,71,BALIKPAPAN,010,BALIKPAPAN SELATAN,008,DAMAI BARU,2,1,20,5,1,1,1,22,1,3,2,1,2,1,1,1,2,,,,,,,,3,,,3,,,2,6,,,,2,,,,3434,0,0,1,1,2,3,5,8,2,4,3,,1,4,6,8,2,1,1,1,1,2,2,1,1,1,1,20,20,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,,,,2,,,,2,,,,1,2,,2,1,1,2,2
62725,64,KALIMANTAN TIMUR,71,BALIKPAPAN,010,BALIKPAPAN SELATAN,009,DAMAI BAHAGIA,2,1,26,7,1,1,1,41,1,3,2,1,2,1,1,1,1,1,4,6,8,2,2,,3,,,3,,,2,6,,,,2,,,,8616,0,0,1,1,2,3,5,7,2,4,3,,1,4,6,8,2,1,1,1,1,2,3,1,2,,,,,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,1,3,80,80,1,1,4,6,1,3,0,1,1,40,40,1,2,,1,2,,,,2,,,,1,1,2,2
62726,64,KALIMANTAN TIMUR,71,BALIKPAPAN,010,BALIKPAPAN SELATAN,010,SUNGAI NANGKA,2,1,35,5,1,1,1,38,1,3,2,1,2,1,1,1,2,,,,,,,,3,,,3,,,2,6,,,,2,,,,7512,0,0,1,1,2,3,5,7,2,4,3,,1,4,6,8,1,1,1,1,1,2,3,1,2,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,1,24,24,2,,,,2,,,,1,2,,2,2,1,2,2
62727,64,KALIMANTAN TIMUR,71,BALIKPAPAN,010,BALIKPAPAN SELATAN,011,SEPINGGAN RAYA,2,1,24,17,1,1,1,34,1,3,2,1,2,1,1,1,1,1,4,6,8,2,2,,3,,,3,,,2,4,,,,1,-,TUSUK SATE,3,6865,0,0,1,1,2,3,5,7,1,4,2,2,1,4,6,8,2,1,1,1,1,2,3,1,2,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,1,45,50,2,,,,2,,,,2,,,,3,3,2,2
62728,64,KALIMANTAN TIMUR,71,BALIKPAPAN,010,BALIKPAPAN SELATAN,012,SEPINGGAN BARU,2,1,21,4,1,1,1,59,1,3,2,1,2,1,1,1,2,,,,,,,,3,,,3,,,2,6,,,,2,,,,10236,231,66,1,1,2,3,5,7,1,4,2,3,1,3,6,8,2,1,1,1,3,2,3,1,2,,,,,1,2,1,2,2,,2,,2,,2,,2,,1,,2,,2,,2,,2,,2,,2,,2,,2,2,,2,,2,2,,2,2,,2,,,,2,,,,,3,0,2,,,,2,,,,2,,,,2,,,,1,1,2,2
62744,64,KALIMANTAN TIMUR,71,BALIKPAPAN,040,BALIKPAPAN TENGAH,001,GUNUNG SARI ILIR,2,1,17,6,1,1,1,69,1,3,2,1,2,1,1,1,2,,,,,,,,3,,,2,,,2,4,,,,2,,,,10974,0,0,1,1,2,3,5,7,2,4,3,,1,3,6,8,2,1,1,1,1,2,2,1,2,,,,,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,2,,,,2,,,,,2,0,2,,,,2,,,,2,,,,2,,,,1,1,2,2
62745,64,KALIMANTAN TIMUR,71,BALIKPAPAN,040,BALIKPAPAN TENGAH,002,GUNUNG SARI ULU,2,1,17,6,1,1,1,39,1,3,2,1,2,1,1,1,2,,,,,,,,3,,,3,,,2,4,,,,2,,,,5064,0,0,1,1,1,3,5,8,2,4,3,,1,3,6,8,2,1,1,1,1,2,2,1,2,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,1,15,15,2,,,,2,,,,2,,,,3,1,2,2
62746,64,KALIMANTAN TIMUR,71,BALIKPAPAN,040,BALIKPAPAN TENGAH,003,MEKAR SARI,2,1,42,6,1,1,1,35,1,3,2,1,2,1,1,1,2,,,,,,,,3,,,2,,,2,6,,,,2,,,,5467,0,0,1,1,2,3,5,8,2,4,2,,1,4,6,8,2,1,1,1,1,2,2,1,2,,,,,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,2,,,,2,,,,,2,0,2,,,,2,,,,2,,,,2,,,,3,3,2,2
62747,64,KALIMANTAN TIMUR,71,BALIKPAPAN,040,BALIKPAPAN TENGAH,004,KARANG REJO,2,1,45,5,1,1,1,87,1,3,2,1,2,1,1,1,2,,,,,,,,3,,,3,,,2,4,,,,2,,,,9735,10,0,1,1,1,3,5,8,2,4,2,,1,3,5,8,2,1,1,1,1,2,2,1,2,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,39,144,149,2,,,,2,,,,2,,,,3,3,2,2
62748,64,KALIMANTAN TIMUR,71,BALIKPAPAN,040,BALIKPAPAN TENGAH,005,SUMBER REJO,2,1,17,2,1,1,1,57,1,3,2,1,2,1,1,1,2,,,,,,,,3,,,2,,,2,6,,,,2,,,,7838,0,0,2,1,1,3,5,8,2,4,2,,1,4,6,8,2,1,1,1,1,2,3,1,2,,,,,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,2,,,,2,,,,,3,0,2,,,,2,,,,2,,,,2,,,,3,3,2,2
62749,64,KALIMANTAN TIMUR,71,BALIKPAPAN,040,BALIKPAPAN TENGAH,006,KARANG JATI,2,1,17,6,1,1,1,40,1,3,2,1,2,1,1,1,1,2,4,6,8,2,2,,3,,,3,,,2,4,,,,1,RENGGINANG,-,3,5111,0,0,1,1,1,3,5,8,2,4,2,,1,4,6,8,2,1,1,1,1,2,2,1,2,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,,,,2,,,,2,,,,2,,,,3,3,2,2
62734,64,KALIMANTAN TIMUR,71,BALIKPAPAN,020,BALIKPAPAN TIMUR,001,MANGGAR,2,1,25,90,1,1,1,70,1,3,2,1,2,1,1,1,1,1,3,6,7,2,1,1,3,,,3,,,2,6,,,,1,"MINUMAN JAHE, SAMBAL SAJIAN RITA",BATIK DAN KERAJINAN,3,14653,55,150,1,1,2,3,5,7,1,3,2,2,1,4,6,8,2,1,1,1,1,2,2,3,1,2,,,,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,2,,,,2,,,,,3,0,1,1,140,145,2,,,,2,,,,2,,,,1,1,2,2
62735,64,KALIMANTAN TIMUR,71,BALIKPAPAN,020,BALIKPAPAN TIMUR,002,MANGGAR BARU,2,1,15,25,1,1,1,46,1,3,2,1,2,1,1,1,1,1,4,6,7,2,1,1,3,,,2,,,2,4,,,,1,AMPLANG,-,3,6972,0,0,1,1,2,3,5,8,1,4,2,2,1,4,5,7,2,1,1,1,1,2,3,1,2,,,,,1,2,2,2,2,,,,2,,,,2,,,,2,,,,1,,,,2,,,,2,,,2,,,,2,,,2,,,1,11,100,100,2,,,,,3,0,1,3,310,310,2,,,,2,,,,2,,,,3,3,2,2
62736,64,KALIMANTAN TIMUR,71,BALIKPAPAN,020,BALIKPAPAN TIMUR,003,LEMARU,2,1,10,24,1,1,1,25,1,3,2,1,2,1,1,1,1,1,4,6,7,2,2,,3,,,2,,,2,1,3,2,1,1,PEPAYA,-,3,4071,67,121,1,1,2,3,5,8,1,4,2,2,1,3,6,8,2,1,1,1,1,2,3,1,2,,,,,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,1,1,30,30,2,,,,,3,0,1,1,10,10,2,,,,2,,,,2,,,,3,1,2,2
62737,64,KALIMANTAN TIMUR,71,BALIKPAPAN,020,BALIKPAPAN TIMUR,004,TERITIP,2,1,20,44,1,1,1,33,1,3,2,1,2,1,1,1,1,1,3,6,7,2,1,1,3,,,2,,,2,1,3,2,1,1,KEPITING SOKKA,-,2,5215,19,177,1,1,2,3,5,7,1,4,2,3,1,3,6,8,2,1,1,1,1,2,2,4,1,2,,,,1,2,1,2,1,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,2,,2,,2,2,,2,2,,2,,,,2,,,,,3,0,1,6,60,60,2,,,,2,,,,2,,,,3,3,2,2
62738,64,KALIMANTAN TIMUR,71,BALIKPAPAN,030,BALIKPAPAN UTARA,001,MUARA RAPAK,2,1,30,10,1,1,1,86,1,3,2,1,2,1,1,1,2,,,,,,,,3,,,2,,,2,6,,,,2,,,,10467,0,0,1,1,2,3,5,7,1,4,2,1,1,4,6,8,2,1,1,1,1,2,3,1,2,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,32,620,940,2,,,,2,,,,2,,,,1,1,2,2
62739,64,KALIMANTAN TIMUR,71,BALIKPAPAN,030,BALIKPAPAN UTARA,002,GUNUNG SAMARINDA,2,1,21,8,1,1,1,52,1,3,2,1,2,1,1,1,2,,,,,,,,3,,,3,,,2,6,,,,1,"TELUR PINDANG, ABON KEPITING",-,3,8461,0,0,1,1,2,3,5,8,2,4,2,,1,4,6,8,2,1,1,1,1,2,2,1,2,,,,,1,2,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,2,,2,,2,2,,2,2,,2,,,,2,,,,,1,0,2,,,,2,,,,2,,,,2,,,,3,1,2,2
