Shape,R101,R101N,R102,R102N,R103,R103N,R104,R104N,R301,R302A,R302B,R302C,R303,R304A,R304B,R304C,R305A1,R305B,R305C,R306A,R306B,R306C,R306D,R307A,R308A,R308B1A,R308B1B,R308B1C,R308B1D,R308B1E,R308B2,R308B3,R309A,R309B,R309C,R402A,R402B1,R402B2,R402C,R403A,R403B,R403C1,R403C2,R404A,R404B1,R404B2,R404C,R501A1,R501A2,R501B,R502A,R502B,R503A1,R503A2,R503A3,R503A4,R503A5,R503A6,R503B,R503C,R504A1,R504A2,R504A3,R504A4,R504A5,R504B,R504C,R505A,R505B,R506,R507A,R507B,R508A,R508B,R508C1,R508C2,R508C3,R509AK2,R509AK3,R509AK4,R509AK5,R509B1K2,R509B1K3,R509B1K4,R509B1K5,R509B2K2,R509B2K3,R509B2K4,R509B2K5,R509B3K2,R509B3K3,R509B3K4,R509B3K5,R509B4K2,R509B4K3,R509B4K4,R509B4K5,R509B5K2,R509B5K3,R509B5K4,R509B5K5,R509B6K2,R509B6K3,R509B6K4,R509B6K5,R509B7K2,R509B7K3,R509B7K4,R509B8K2,R509B8K3,R509B8K4,R509B8K5,R509B9K2,R509B9K4,R509B9K5,R509B10K2,R509B10K4,R509B10K5,R510B,R510C1,R510C2,R510C3,R510D1,R510D2A,R510D2B,R510D2C,R510D3,R511A,R511B,R512A,R512B1,R512B2,R512B3,R513AK2,R513AK3,R513ALK3,R513AK4,R513BK2,R513BK3,R513BLK3,R513BK4,R513CK2,R513CK3,R513CLK3,R513CK4,R514A,R514B,R515,R516
62222,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,080,KOTABANGUN,014,KOTA BANGUN ILIR,1,1,10,4,1,1,2,14,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,3,,,,1,KRUPUK IKAN KERUPUK GANDUM,0,3,903,0,0,2,1,2,3,5,7,1,4,2,3,1,4,5,7,2,1,3,1,3,3,3,1,2,,,,,1,2,2,2,1,,,,1,,,,1,,,,2,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,1,2,40,42,1,2,3,6,3,3,0,2,,,,1,1,,2,2,,,,2,,,,3,3,2,2
62223,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,080,KOTABANGUN,015,PELA,1,1,5,36,1,1,2,6,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,14,5,2,1,OLAHAN IKAN,0,3,153,0,0,3,,2,3,6,8,2,4,2,,2,4,5,8,2,3,3,1,2,3,7,6,2,,,,,1,2,1,2,1,,2,,2,,2,,2,,2,,2,,2,,1,,2,,1,,1,,1,,1,2,,2,,2,2,,2,2,,2,,,,2,,,,,1,0,2,,,,2,,,,2,,,,2,,,,3,3,2,2
62224,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,080,KOTABANGUN,016,MUHURAN,1,1,5,17,1,1,2,5,1,3,2,1,1,1,1,1,2,,,,,,,,2,3,3,2,,,2,1,1,5,2,2,,,,0,219,0,1,1,2,3,5,8,1,4,2,3,2,3,6,8,2,2,3,2,2,3,2,6,2,,,,,1,2,2,2,1,,,,2,,,,2,,,,1,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,2,,,,2,,,,,3,0,2,,,,2,,,,2,,,,2,,,,3,3,2,1
62225,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,080,KOTABANGUN,017,KOTA BANGUN SEBERANG,1,1,9,24,1,1,2,15,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,3,,,2,1,1,2,2,1,KERUPUK,PERAHU,3,700,0,0,2,1,2,3,5,7,1,4,2,1,2,3,5,8,2,2,3,1,3,4,3,6,2,,,,,1,2,2,2,1,,,,2,,,,2,,,,2,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,2,,,,2,,,,,3,0,2,,,,2,,,,2,,,,2,,,,3,3,2,2
62226,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,080,KOTABANGUN,018,KEDANG MURUNG,1,1,9,2,1,1,2,12,1,3,2,1,1,1,1,1,2,,,,,,,,2,3,4,2,,,2,1,14,5,2,1,KRUPUK GANDUM KERUPUK IKAN,0,3,684,48,0,3,,2,3,5,8,1,4,2,1,2,3,5,8,2,3,3,1,3,4,7,1,1,2,,,,1,2,1,2,1,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,,1,,1,,1,2,,2,,2,2,,2,2,,1,1,50,50,2,,,,,1,0,2,,,,2,,,,2,,,,2,,,,3,3,2,2
62227,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,080,KOTABANGUN,019,LIANG ULU,1,1,7,3,1,1,2,10,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,14,5,1,1,ABON IKAN DAN KRUPUK IKAN,0,3,685,0,0,2,1,2,3,5,8,2,4,2,,1,3,5,8,2,1,3,1,2,3,3,1,2,,,,,1,2,2,2,1,,,,2,,,,2,,,,2,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,1,2,80,80,1,2,3,6,3,3,0,2,,,,1,1,,2,2,,,,2,,,,3,3,2,2
62228,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,080,KOTABANGUN,020,SEBELIMBINGAN,1,1,5,12,1,1,1,5,1,3,2,1,1,1,1,1,2,,,,,,,,2,3,3,2,,,2,1,1,2,1,2,,,,0,178,0,1,1,2,3,6,8,2,4,2,,2,4,5,8,2,3,3,1,2,3,2,6,2,,,,,1,2,2,2,1,,,,1,,,,1,,,,1,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,2,,,,2,,,,,3,0,2,,,,2,,,,2,,,,2,,,,3,3,2,1
62229,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,080,KOTABANGUN,021,SANGKULIMAN,1,1,5,17,1,1,1,8,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,14,5,2,1,IKAN ASIN,0,3,253,0,0,2,1,2,3,5,8,2,4,2,,1,3,6,8,2,2,1,1,3,4,3,1,2,,,,,1,2,2,2,1,,,,2,,,,2,,,,2,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,2,,,,2,,,,,3,0,2,,,,2,,,,2,,,,2,,,,3,3,2,2
62166,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,040,LOA JANAN,001,BATUAH,1,1,9,2,2,1,2,49,1,3,2,1,1,1,1,1,2,,,,,,,,2,2,3,2,,,2,1,3,2,1,1,BUAH NAGA,TIDAK ADA,3,3100,0,37,2,1,2,3,5,7,1,4,2,3,1,3,6,8,2,2,1,1,1,4,2,4,1,1,3,15,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,,,,2,,,,2,,,,2,,,,3,3,1,1
62167,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,040,LOA JANAN,002,TANI BAKTI,1,1,9,9,1,1,2,14,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,3,2,1,2,,,,914,0,0,1,1,2,3,5,7,1,4,2,3,2,3,6,8,2,2,1,1,1,4,2,3,2,,,,,1,2,2,2,1,,,,2,,,,2,,,,1,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,2,,,,2,,,,,1,0,2,,,,2,,,,2,,,,2,,,,3,3,2,1
62168,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,040,LOA JANAN,003,PURWAJAYA,1,1,9,30,2,1,2,21,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,3,,,2,1,3,1,1,2,,,,1571,252,0,2,1,2,3,5,8,1,4,2,2,1,4,6,8,2,1,1,1,1,2,2,1,2,,,,,1,1,2,2,2,2,,,2,2,,,2,2,,,1,1,,,2,2,,,2,2,,,2,2,,2,2,,,2,,,2,,,2,,,,1,1,4,6,1,3,0,2,,,,1,2,,1,2,,,,2,,,,3,3,2,2
62169,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,040,LOA JANAN,004,LOA JANAN ULU,1,1,11,4,1,1,2,36,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,4,,,,2,,,,3387,0,0,1,1,2,3,5,7,1,4,3,3,1,3,5,8,2,1,1,1,1,2,2,1,2,,,,,1,1,2,2,1,2,,,2,2,,,1,2,,,1,1,,,2,2,,,1,2,,,1,2,,2,2,,,2,,,2,,,1,1,90,90,1,2,3,5,1,3,0,2,,,,1,1,,2,2,,,,2,,,,3,3,2,2
62170,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,040,LOA JANAN,005,LOA DURI ULU,1,1,11,1,1,1,2,18,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,2,,,,2,,,,1950,0,550,2,1,2,3,5,7,1,4,2,3,1,4,6,8,2,1,3,1,1,4,2,1,2,,,,,1,2,2,2,1,,,,2,,,,2,,,,1,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,1,2,60,60,1,1,4,6,1,3,0,2,,,,1,2,,2,2,,,,2,,,,3,3,2,1
62171,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,040,LOA JANAN,006,BAKUNGAN,1,1,9,2,2,1,2,24,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,1,3,1,2,,,,2683,0,20,1,1,2,3,5,8,1,4,3,3,1,3,5,8,2,1,3,1,1,3,2,1,2,,,,,1,1,1,2,1,2,2,,2,2,2,,1,2,2,,1,1,1,,2,2,2,,1,2,2,,2,2,2,2,2,2,,2,2,,2,2,,1,1,120,120,1,1,4,6,1,2,0,1,20,219,219,1,2,,1,2,,,,1,2,,1,3,3,2,2
62172,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,040,LOA JANAN,007,LOA DURI ILIR,1,1,11,4,1,1,2,26,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,3,,,2,4,,,,2,,,,3565,0,0,1,1,2,3,5,7,1,4,2,3,1,3,5,8,2,1,3,1,1,2,2,1,2,,,,,1,2,2,2,1,,,,1,,,,1,,,,2,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,1,1,40,135,1,1,4,6,1,3,0,2,,,,1,1,,2,2,,,,2,,,,3,1,2,1
62173,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,040,LOA JANAN,008,TANI HARAPAN,1,1,7,4,1,1,2,14,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,5,1,2,2,,,,2100,0,6,3,,2,3,6,8,1,4,2,3,1,3,6,8,2,2,1,1,3,4,2,4,2,,,,,1,2,1,2,1,,1,,1,,2,,1,,2,,2,,2,,2,,2,,2,,1,,2,,2,2,,2,,2,2,,2,2,,2,,,,1,1,4,6,1,1,0,2,,,,1,2,,1,1,2,,1,2,,,,3,3,2,2
62174,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,050,LOA KULU,001,JONGGON DESA,1,1,9,4,2,1,2,20,1,3,2,1,1,1,1,1,2,,,,,,,,2,3,1,2,,,2,1,1,2,2,2,,,,850,0,11,3,,2,3,6,8,1,4,2,3,2,3,5,8,2,2,3,1,3,4,6,4,2,,,,,1,2,2,2,1,,,,1,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,1,2,80,60,1,2,3,6,1,3,0,2,,,,1,2,,2,2,,,,2,,,,3,3,1,2
62175,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,050,LOA KULU,002,SUNGAI PAYANG,1,1,9,6,1,1,2,20,1,3,2,1,1,1,1,1,2,,,,,,,,2,3,2,2,,,2,1,6,2,1,2,,,,730,60,3,3,,2,3,6,8,1,4,2,3,1,4,6,8,2,1,1,1,3,4,7,6,2,,,,,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,4,100,100,1,1,4,6,1,1,1,2,,,,1,2,,2,2,,,,2,,,,1,3,2,2
62176,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,050,LOA KULU,003,JEMBAYAN,1,1,9,2,1,1,2,23,2,3,2,1,1,1,1,1,2,,,,,,,,3,,,3,,,2,1,1,1,1,1,PADI,BATU BARA,1,2446,10,0,1,1,2,3,5,8,2,4,2,,2,3,5,8,2,2,3,1,3,3,3,1,2,,,,,1,2,2,2,1,,,,1,,,,1,,,,2,,,,2,,,,1,,,,2,,,2,,,,2,,,2,,,1,5,350,350,1,1,3,6,1,3,0,2,,,,1,2,,2,1,2,,2,1,2,,2,3,3,2,2
62177,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,050,LOA KULU,004,PONORAGAN,1,1,7,6,1,1,2,7,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,15,1,1,2,,,,823,0,66,1,1,2,3,6,8,2,4,2,,1,4,6,8,2,1,1,1,3,2,3,1,2,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,,,,2,,,,2,,,,2,,,,3,3,2,2
62178,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,050,LOA KULU,005,LOH SUMBER,1,1,11,6,1,1,2,9,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,1,1,1,1,TEMPE LOA KULU,TIDAK ADA,3,973,543,0,1,1,2,3,5,7,1,4,2,2,1,3,5,8,2,1,1,1,1,2,2,1,2,,,,,2,1,2,1,,2,,2,,2,,2,,2,,2,,1,,1,,2,,2,,2,,2,,2,,,2,,2,,,2,,,2,,,,,,,,,,3,1,2,,,,2,,,,2,,,,2,,,,3,3,2,2
62179,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,050,LOA KULU,006,LOA KULU KOTA,1,1,11,17,1,1,2,23,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,3,,,,1,TIDAK ADA,PLAY WOOD,3,2175,46,36,1,1,2,3,5,7,1,4,2,3,1,3,6,8,2,1,1,1,1,2,3,1,2,,,,,1,1,2,2,1,2,,,1,2,,,1,2,,,1,2,,,2,2,,,1,2,,,1,2,,2,2,,,2,,,2,,,1,12,368,392,2,,,,,3,0,1,1,50,50,2,,,,2,,,,2,,,,3,3,2,2
62180,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,050,LOA KULU,007,REMPANGA,1,1,9,2,2,1,2,9,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,3,,,2,1,1,1,1,2,,,,867,0,0,2,1,2,3,5,8,1,4,3,3,1,3,5,8,2,1,3,1,4,3,3,1,2,,,,,1,1,2,1,1,2,,2,1,2,,2,1,2,,2,1,1,,2,2,2,,2,1,2,,1,1,2,,2,2,,2,2,,2,2,,2,1,1,100,110,2,,,,,3,1,1,1,50,50,2,,,,2,,,,2,,,,3,3,2,1
62181,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,050,LOA KULU,008,JONGGON JAYA,1,1,9,5,2,1,2,17,1,3,2,1,1,1,1,1,2,,,,,,,,2,1,2,2,,,2,1,1,2,1,1,PADI,SAWIT,2,758,0,25,3,,2,3,5,8,2,4,2,,2,3,6,8,2,2,1,1,3,4,6,4,1,2,,,,2,1,2,1,,2,,2,,2,,2,,2,,2,,1,,2,,2,,2,,2,,2,,2,,,2,,2,,,2,,,2,,,,,,,,,,2,1,2,,,,1,2,,1,2,,,,1,2,,1,2,3,1,2
62182,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,050,LOA KULU,009,MARGAHAYU,1,1,9,6,2,1,2,27,1,1,1,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,1,2,2,1,BERAS,TIDAK ADA,3,1034,0,0,3,,2,3,5,8,2,4,3,,2,3,6,8,2,2,3,1,3,4,2,1,2,,,,,2,1,1,2,,2,2,,,2,2,,,2,2,,,1,1,,,2,2,,,2,1,,,2,2,,2,2,,,2,,,2,,,,,,,,,,,1,0,2,,,,2,,,,2,,,,2,,,,3,3,2,2
62183,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,050,LOA KULU,010,LUNG ANAI,1,1,5,7,2,1,1,4,1,3,2,1,1,2,1,1,2,,,,,,,,2,3,1,2,,,2,1,1,3,1,2,,,,120,10,1,3,,2,3,6,8,1,4,2,2,2,3,6,8,2,2,3,1,3,4,7,5,2,,,,,1,2,2,2,1,,,,2,,,,2,,,,1,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,1,1,28,28,1,2,3,6,1,1,0,2,,,,1,1,,2,2,,,,2,,,,3,3,1,2
62184,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,050,LOA KULU,011,JEMBAYAN TENGAH,1,1,7,4,2,1,2,8,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,1,2,1,1,TIDAK ADA,BATU BARA,1,448,0,0,2,1,2,3,5,8,1,4,3,4,2,3,5,7,1,2,1,1,3,3,2,6,2,,,,,1,2,2,2,1,,,,1,,,,1,,,,1,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,1,2,50,50,1,1,4,5,3,1,0,2,,,,1,2,,2,1,2,,2,1,2,,2,3,3,1,1
62185,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,050,LOA KULU,012,JEMBAYAN DALAM,1,1,7,6,2,1,2,9,1,3,2,1,1,1,1,1,2,,,,,,,,2,1,2,2,,,2,1,1,3,2,1,-,BATU BARA,1,506,53,0,3,,2,3,6,7,1,4,2,2,2,4,5,8,2,3,3,1,3,3,2,6,2,,,,,1,2,2,2,1,,,,2,,,,2,,,,1,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,1,2,115,136,1,1,3,6,3,3,0,2,,,,1,2,,1,1,2,,1,1,2,,1,3,1,1,1
62186,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,050,LOA KULU,013,SEPAKAT,1,1,7,6,1,1,2,6,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,3,,,2,1,15,1,1,1,IKAN,TIDAK ADA,3,430,0,0,1,1,2,3,6,8,2,4,2,,1,3,5,8,2,1,1,1,1,4,3,1,2,,,,,1,1,2,2,1,2,,,1,2,,,1,2,,,1,1,,,2,2,,,1,2,,,1,2,,1,2,,,2,,,2,,,1,2,130,120,1,1,3,6,1,3,0,2,,,,1,1,,2,2,,,,2,,,,1,3,2,2
62187,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,050,LOA KULU,014,JONGKANG,1,1,7,6,1,1,2,7,1,1,1,1,1,1,1,1,2,,,,,,,,3,,,3,,,2,1,15,1,2,2,,,,385,0,0,3,,2,3,5,8,2,4,2,,1,3,5,8,2,2,1,1,3,4,5,7,2,,,,,1,1,2,2,1,2,,,1,2,,,2,2,,,1,1,,,2,2,,,1,1,,,1,2,,2,2,,,2,,,2,,,1,1,20,20,1,1,3,6,3,3,0,2,,,,1,2,,2,2,,,,2,,,,3,3,2,2
62188,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,050,LOA KULU,015,SUMBER SARI,1,1,9,32,1,1,2,11,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,1,1,1,1,BERAS,WISATA ALAM DAN EDUKASI,3,955,0,0,2,1,2,3,5,8,1,4,3,3,1,3,6,8,2,2,3,1,3,1,3,1,2,,,,,2,1,1,1,,2,1,2,,2,2,2,,2,2,2,,1,1,1,,2,2,2,,1,1,1,,2,2,,2,2,2,,2,2,,2,2,,,,,,,,,,1,2,2,,,,2,,,,2,,,,2,,,,1,3,1,1
62297,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,140,MARANG KAYU,001,PERANGAT BARU,1,1,7,24,2,1,2,10,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,4,1,1,2,,,,291,35,5,3,,2,3,6,8,1,4,2,3,2,3,6,8,2,2,3,1,3,4,6,4,2,,,,,1,2,2,2,1,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,2,,,,1,1,4,6,1,3,0,2,,,,1,2,,2,2,,,,2,,,,2,2,2,2
62298,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,140,MARANG KAYU,002,BUNGA PUTIH,1,1,7,11,2,1,2,12,1,1,1,1,1,1,1,1,2,,,,,,,,3,,,3,,,2,1,4,3,3,2,,,,450,20,10,2,1,2,3,6,8,1,4,2,2,2,3,6,8,2,2,3,1,1,4,6,4,2,,,,,2,2,2,1,,,,1,,,,1,,,,1,,,,2,,,,2,,,,2,,,,,,,2,,,2,,,2,,,,,,,,,,3,1,2,,,,2,,,,2,,,,2,,,,3,3,2,2
62299,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,140,MARANG KAYU,003,PERANGAT SELATAN,1,1,7,30,2,1,2,16,1,3,2,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,4,1,1,1,KARET,TIDAK ADA,3,530,0,0,3,,2,3,5,8,1,4,2,3,2,3,6,8,2,2,3,1,3,1,3,1,1,1,1,2,2,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,2,,,,1,1,4,6,1,3,0,2,,,,1,2,,2,2,,,,2,,,,2,2,2,2
62300,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,140,MARANG KAYU,004,MAKARTI,1,1,9,14,2,1,2,15,1,3,2,1,1,1,1,1,2,,,,,,,,2,3,3,2,,,2,1,4,2,2,1,-,KARET,3,474,0,150,3,,2,3,5,7,1,4,2,3,2,3,5,8,2,3,3,1,3,4,6,4,1,2,,,,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,2,,,,1,1,4,6,1,1,0,2,,,,1,2,,1,1,2,,2,1,2,,1,3,3,1,2
62301,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,140,MARANG KAYU,005,SEBUNTAL,1,1,9,32,2,1,1,29,1,3,2,1,1,1,1,1,1,1,3,6,7,2,1,2,3,,,1,10,0,2,1,1,1,1,1,BERAS,TIDAK ADA,3,1567,98,0,3,,2,3,5,8,1,3,2,3,2,3,6,8,2,2,3,1,1,2,3,1,1,1,2,17,17,1,2,2,2,1,,,,1,,,,1,,,,1,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,2,,,,1,2,3,6,1,3,0,2,,,,1,1,,1,2,,,,2,,,,2,1,2,1
62302,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,140,MARANG KAYU,006,KERSIK,1,1,5,2,1,1,2,4,1,3,2,1,1,1,1,1,1,1,3,6,7,1,1,2,3,,,2,,,2,1,15,2,1,2,,,,335,0,37,3,,2,3,5,8,1,4,2,1,1,3,6,8,2,2,3,1,3,3,3,1,2,,,,,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,,,,2,,,2,,,,2,,,2,,,2,,,,2,,,,,3,0,2,,,,2,,,,2,,,,2,,,,2,3,2,2
62303,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,140,MARANG KAYU,007,SANTAN ILIR,1,1,7,3,2,1,2,12,1,3,2,1,1,1,1,1,1,1,3,6,7,2,1,1,3,,,2,,,2,1,5,1,2,1,PENGOLAHAN AMPLANG IKAN BANDENG,-,3,500,9,30,2,2,2,3,5,8,2,4,2,,2,3,5,8,2,3,3,1,1,1,2,7,2,,,,,1,2,2,2,1,,,,2,,,,2,,,,1,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,2,,,,1,1,4,6,2,3,0,2,,,,1,2,,1,2,,,,2,,,,1,3,1,2
62304,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,140,MARANG KAYU,008,SANTAN TENGAH,1,1,9,24,2,1,2,13,1,3,2,1,1,1,1,1,2,,,,,,,,2,2,3,2,,,2,1,5,3,4,1,-,KELAPA SAWIT,3,587,0,83,3,,2,3,5,8,1,4,2,3,2,3,6,8,2,2,3,1,1,4,2,3,2,,,,,1,1,2,2,1,2,,,2,2,,,2,2,,,1,1,,,2,2,,,2,2,,,2,2,,2,2,,,2,,,2,,,2,,,,1,1,4,6,2,2,0,2,,,,1,2,,1,2,,,,1,2,,1,3,2,1,2
62305,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,140,MARANG KAYU,009,SANTAN ULU,1,1,9,20,2,1,2,20,1,1,1,1,1,1,1,1,2,,,,,,,,2,3,2,2,,,2,1,1,2,1,1,PADI,-,3,753,0,439,3,,2,3,5,8,1,4,2,2,2,3,5,7,1,3,3,1,3,4,2,4,1,2,,,,1,1,1,2,1,1,1,,1,2,1,,1,2,1,,1,1,2,,2,2,2,,2,2,2,,1,2,2,2,2,2,,2,2,,2,2,,1,1,4,4,1,1,4,6,3,2,0,2,,,,1,2,,1,2,,,,2,,,,1,3,1,1
62306,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,140,MARANG KAYU,010,SAMBERA BARU,1,1,7,24,1,1,2,16,1,1,1,1,1,1,1,1,2,,,,,,,,3,,,2,,,2,1,4,1,1,2,,,,433,43,0,3,,2,3,5,8,1,3,2,3,2,3,6,8,2,2,3,1,3,4,2,4,2,,,,,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,2,,,,2,,,,,3,0,2,,,,2,,,,2,,,,2,,,,2,2,2,2
62307,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,140,MARANG KAYU,011,SEMANGKOK,1,1,9,2,2,1,2,13,1,3,2,1,1,1,1,1,1,1,4,6,7,2,1,1,3,,,1,3,0,2,1,1,1,1,1,PADI,TIDAK ADA,3,750,64,142,3,,2,3,5,8,1,4,2,3,2,3,6,8,2,2,3,1,3,2,3,1,1,2,,,,2,1,2,2,,2,,,,2,,,,2,,,,1,,,,2,,,,2,,,,2,,,2,,,,,,,,,,,,,,,,,,2,0,2,,,,2,,,,2,,,,2,,,,3,3,1,1
62284,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,130,MUARA BADAK,001,SELIKI,1,1,9,5,1,1,2,10,2,3,2,1,1,1,1,1,1,1,3,6,8,1,1,1,3,,,2,,,2,1,5,2,1,1,AMPLANG,TIDAK ADA,3,1533,0,232,2,1,2,3,5,8,1,4,2,2,2,3,5,7,2,3,3,1,1,3,2,3,2,,,,,1,2,2,2,1,,,,2,,,,2,,,,2,,,,2,,,,1,,,,1,,,2,,,,2,,,2,,,1,1,125,350,2,,,,,2,0,2,,,,2,,,,2,,,,2,,,,1,3,1,1
62285,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,130,MUARA BADAK,002,SALO PALAI,1,1,7,2,1,1,2,9,1,3,2,1,1,1,1,1,1,1,3,6,8,2,1,1,3,,,1,1,0,2,1,9,3,1,1,TIDAK ADA,LADA,3,264,397,0,1,1,2,3,5,8,1,4,2,2,2,3,6,8,2,2,3,1,1,2,2,3,2,,,,,1,2,2,2,2,,,,2,,,,2,,,,1,,,,2,,,,1,,,,2,,,2,,,,2,,,2,,,2,,,,2,,,,,3,0,2,,,,2,,,,2,,,,2,,,,1,3,2,2
62286,64,KALIMANTAN TIMUR,03,KUTAI KARTANEGARA,130,MUARA BADAK,003,MUARA BADAK ULU,1,1,11,5,1,1,2,14,1,3,2,1,1,1,1,1,1,1,3,6,8,2,1,1,3,,,2,,,2,1,15,3,1,2,,,,1299,20,66,1,1,2,3,5,8,1,4,3,2,1,3,6,8,2,1,1,1,1,3,2,1,2,,,,,1,2,2,2,1,,,,1,,,,1,,,,2,,,,2,,,,1,,,,2,,,2,,,,2,,,2,,,2,,,,1,1,4,6,1,3,0,2,,,,1,2,,2,2,,,,1,2,,2,3,3,1,2
